formula,Temperature,sigma (S/cm)
Y0.2Zr0.8O1.9 ht2,1073.0,3000.0
Y0.2Zr0.8O1.9 ht2,625.0,2.84e-05
Y0.2Zr0.8O1.9 ht2,545.0,1.53e-06
Y0.2Zr0.8O1.9 ht2,873.0,50.0
Y0.2Zr0.8O1.9 ht2,1176.0,0.045
Y0.2Zr0.8O1.9 ht2,523.0,2.5e-07
Y0.2Zr0.8O1.9 ht2,1200.0,0.093
Y0.2Zr0.8O1.9 ht2,600.0,5e-05
Y0.2Zr0.8O1.9 ht2,1173.0,0.005
Y0.2Zr0.8O1.9 ht2,923.0,0.0046
Y0.2Zr0.8O1.9 ht2,1246.0,0.021
Y0.2Zr0.8O1.9 ht2,1666.0,0.5
Y0.2Zr0.8O1.9 ht2,1250.0,0.139
Y0.2Zr0.8O1.9 ht2,1000.0,0.0148
Y0.008Zr0.992O1.996 rt,923.0,0.0046
Y0.008Zr0.992O1.996 rt,396.0,1.8e-06
Sb2Te3 rt,300.0,104.0
Sb2Te3 rt,50.0,136.0
Sb2Te3 rt,298.0,2300.0
Sb2Te3 rt,180.0,5000.0
Sb2Te3 rt,100.0,100.0
Sb2Te3 rt,298.0,1696.0
TiSe2 rt,300.0,900.0
Ag2Se ht,423.0,1000.0
Ag2Se ht,423.0,4000.0
Ag2Se ht,500.0,2000.0
TbAl2.7Ge0.3,298.0,28.95
TbAl2.7Ge0.3,4.0,9850.0
As2Se3,300.0,2.8e-13
As2Se3,300.0,3.3e-13
As2Se3,300.0,1.7e-14
As2Se3,300.0,1e-14
As2Se3,300.0,1.8e-14
As2Se3,300.0,2.8e-13
As2Se3,300.0,3.3e-13
GaAsSix tf,300.0,10.8
GaAsSix tf,4.2,2.2
BaBr2 rt,635.0,1e-05
BaBr2 rt,1055.0,0.003
BaTiO2.85 6H,546.0,1.0000000000000001e-07
BaTiO2.85 6H,540.0,9.1e-08
Sc3C4,298.0,300.0
Sc3C4,90.0,360.0
Bi2S3,298.0,0.0020399999999999
Bi2S3,298.0,0.054
Bi2S3,573.0,4.0
Bi2S3,298.0,0.41
Bi2S3,298.0,2.5e-06
CuBi2O4,555.0,6e-05
Gd0.25Bi0.75O1.5 ht,1265.0,0.1
Gd0.25Bi0.75O1.5 ht,588.0,1e-05
Gd0.7Bi2.3O4.5 rt,673.0,5.62e-05
Ge2Bi10Te17,298.0,1200.0
Nb0.25Bi0.75O1.75,769.0,2.06e-06
Nb0.25Bi0.75O1.75,298.0,2.0000000000000002e-07
Nb0.25Bi0.75O1.75,1073.0,0.012
Nb0.25Bi0.75O1.75,573.0,2.8e-06
Nb0.25Bi0.75O1.75,973.0,0.0168
Nb0.25Bi0.75O1.75,773.0,0.0001099999999999
Nb16Bi47O111 ht,1090.0,0.084
Pb6.15Bi9.85O21,298.0,1e-13
