formula,Bulk Modulus (GPa)
InSb rt,46.7
InSb rt,50.2
InSb rt,47.4
InSb rt,47.0
InSb rt,44.0
InSb rt,36.6
InSb rt,47.1
InSb rt,47.4
InSb rt,53.0
Pm,33.0
PbO ht,23.0
Pr2O3 ht1,130.0
Pr2O3 ht1,115.8
PrO2 rt,378.0
SnO2 rt,218.0
SnO2 rt,224.0
Pd,180.0
Pd,215.0
Pd,230.0
Pd,201.1
Pd,180.0
Pd,237.0
Pd,172.6
ZnTb rt,76.8
Ag0.05Cd0.95,45.0
Ag0.05Cd0.95,57.0
Ag0.05Cd0.95,45.0
Ag0.05Cd0.95,57.0
Mg1.04Ag2.96 rt,112.0
Mg1.04Ag2.96 rt,114.0
CeAl3 rt,47.8
MoAl12,109.0
Nb3.04Al0.96,177.0
Nb3.04Al0.96,245.0
Nb3.04Al0.96,165.49
Al2O3,259.5
Al2O3,250.41
Au4V rt,207.11
MoB2 ht,324.0
TlBr rt,20.7
TlBr rt,19.7
TiB2 rt,260.0
TiB2 rt,254.7
TiB2 rt,250.0
TiB2 rt,252.3
TiB2 rt,270.0
TiB2 rt,377.0
ZrB12,234.0
ZrB12,249.0
MgCe,38.0
Ce7Ni3,24.6
NaCl rt,25.5
NaCl rt,24.0
NaCl rt,23.77
NaCl rt,23.85
NaCl rt,24.1
NaCl rt,22.9
NaCl rt,24.0
NaCl rt,23.5
NaCl rt,22.81
NaCl rt,33.0
NaCl rt,24.0
NaCl rt,32.0
NaCl rt,23.68
NaCl rt,23.83
NaCl rt,27.5
NaCl rt,23.5
NaCl rt,30.1
NaCl rt,23.5
NaCl rt,26.4
NaCl rt,25.0
PrCo5,138.1
PrCo5,139.5
PrCo5,135.9
PrCo5,137.7
NbCr2 rt,229.4
NbCr2 rt,229.4
NbCr2 rt,191.0
Cs,2.23653
Cs,36.9039
Cs,1.48
Cs,2.0
Cs,22.7
Cs,2.0
UC2 ht1,216.0
UC rt,160.0
UC rt,168.0
UC rt,159.0
UC rt,160.0
UC rt,155.0
UC rt,65.0
W2C ht1,490.0
W2C ht1,420.0
FePd lt,216.0
FePd lt,214.0
FePd3 rt,184.0
FePd3 rt,182.0
FePt3 rt,120.0
FePt3 rt,196.0
FePt3 rt,319.0
FePt3 rt,256.0
FePt3 rt,262.0
Fe0.5Pt0.5 ht,165.0
Fe0.5Pt0.5 ht,181.0
Fe0.5Pt0.5 ht,186.0
Fe0.5Pt0.5 ht,80.0
FePt rt,247.0
FeS2 ht,148.0
FeS2 ht,159.7
FeSe rt,32.9
FeSe rt,28.9
FeSe rt,38.4
FeSe rt,121.6
Fe5Si3 ht,215.0
Fe5Si3 ht,239.0
Fe0.92Si2 ht,177.0
Fe0.92Si2 ht,220.0
Fe1.67Sn ht,103.0
Fe3Sn2 ht,89.0
Fe3Sn ht,122.0
Fe0.9517Sn0.0483 rt,150.0
Fe0.9517Sn0.0483 rt,131.0
FeSn2 rt,86.0
GaN rt,237.0
GaN rt,200.0
GaN rt,245.0
GaN rt,170.6
GaN rt,234.0
GaN rt,251.0
GaN rt,181.0
GaN rt,207.0
GaN rt,210.6
GaN rt,252.4
GaN rt,271.8
GaN rt,243.0
GdH3 rt,80.0
GdH3 rt,80.0
MgGd,51.0
GeTe ht,55.5
HgTe rt,40.0
HgTe rt,42.0
HgTe rt,42.5
HgTe rt,41.8
HgTe rt,42.3
HgTe rt,42.3
HgTe rt,42.8
HgTe rt,52.5
HgTe rt,47.1
HgTe rt,47.6
HgTe rt,42.7
HgTe rt,42.3
HgTe rt,45.0
LaH3 lt1,66.7
LaH3 lt1,68.4
NaH rt,19.4
NaH rt,28.0
NaH rt,14.3
NbH rt,187.0
NbH rt,179.0
NbH rt,191.0
NbH rt,187.0
NbH rt,191.0
NbD1.9 rt,175.0
[D2O] lt hex,9.85
VD2 rt,163.0
Rb hp4 cub,3.0217
Rb hp4 cub,52.8139
Rb hp4 cub,1.89
Rb hp4 cub,3.0
Rb hp4 cub,27.0
Rb hp4 cub,5.0
Rb hp4 cub,4.1
Rb hp4 cub,2.92
Rb hp4 cub,4.2
Rb hp4 cub,2.301
In2Se3 gamma,22.0
In2Se3 gamma,29.0
Th rt,63.2
Th rt,42.0
Th rt,50.0
Th rt,35.7
Th rt,35.6
Th rt,35.6
Th rt,58.0
Mg0.974Sn0.026,30.8
MnO rt,161.7
MnO rt,161.0
MnO rt,144.0
MnO rt,142.0
MoN ht2,350.68
MoN ht2,338.33
MoN ht1,304.0
MoSi2 rt,230.0
MoSi2 ht,220.0
Nb3Sn rt,166.54
NiO ht,199.0
NiO ht,172.0
TiNi ht,157.0
TiNi ht,153.0
SbO2 cli,105.0
Ti2O3 rt,237.0
Ti2O3 rt,259.3
TiO ht2,280.0
TiO ht2,230.0
TiO rt,121.2
TiO2 rut,187.7
TiO2 rut,210.0
TiO2 rut,211.0
TiO2 rut,178.0
TiO2 rut,243.0
TiO2 rut,238.0
TiO2 rut,206.0
PbTe rt,37.5
PbTe rt,37.6
PbTe rt,37.2
PbTe rt,40.4
PbTe rt,48.5
PbTe rt,49.0
PbTe rt,40.5
PbTe rt,46.0
UP rt,102.0
UP rt,102.0
UP rt,104.0
TiSi2 orth1,164.1
TiSi2 orth1,147.1
TiSi2 orth1,143.3
TiSi2 orth1,145.2
TiSi2 orth1,167.2
TiSi2 orth1,165.7
WSi2,240.0
Ta0.5W0.5 ht,256.0
Ta0.5W0.5 ht,255.8
Ta0.5W0.5 ht,276.8
Ta0.5W0.5 ht,269.2
Zr0.5Ti0.5 rt,148.0
CeAl2,234.0
Ar ccp,6.5
Ar ccp,2.75
Ar ccp,5.513
Ar ccp,6.28
[N2] lt1,1.31
[N2] lt1,1.31
[N2] lt1,1.31
BaF2 rt,53.4
CaF2 rt,95.0
CaF2 rt,81.0
CdTe rt,42.0
CdTe rt,42.4
