,formula,target
925,Ag6SnS4Br2,0.371563556432483
554,Sr2ErNbO6,-5.843044541989709
256,MgFe2O4,1.5612975371061655
560,Ti0.5Nb0.25Cr0.25O2,-12.716898269296165
887,Cs0.65Pb3.65Bi11.35Se21,9.680344001221918
1384,Fe0.9Co0.1Si2,2.5649493574615367
1012,BaCa0.34Er1.66NiO5,-5.472670753692815
307,In2Se3,1.791759469228055
72,FeSi2,0.6931471805599453
257,SnF2,-11.512925464970229
1162,Ba6Cu31.2Te12.33S10.67,10.126631103850338
2,AgGaSe2,13.815510557964274
1545,K2.5Ag4.5Ce2Te9,7.9724660159745655
1318,Co2Sn3Se3,10.288749953326773
1673,Ba0.5Cu0.5C2O4H2O4,-12.153480195411003
680,SrTi0.8Nb0.2O3,11.462105742640254
860,In2.0Sn8.9As10.85I4,5.568344503761097
367,UTe3,6.907755278982137
694,Sr0.15La0.85MnO3,6.040254711277414
1686,La0.67Nb2O6,-11.74359728270523
1071,LaCr0.5Rh0.5O3,0.6931471805599453
479,D2KAsO4,-18.158316479484874
557,MoCoO4,-12.520783390369873
858,MnRePb2O6,4.382026634673881
1229,Ba0.5Cu0.5La0.5Fe0.5O2.74,7.600902459542082
585,Ba2Cu2.86Y0.89Al0.06O6.18,9.210340371976184
117,SnBi2Te4,11.33857207782545
1118,LaPd3S4,12.793859310432293
1040,Li2.5Ga0.5GeO4,-9.441012189711184
682,BaCuLuFeO5,-5.7763531674910364
5,SrSnO3,-16.11809565095832
1579,LaTi3Nb7Pb5O30,-26.90347250865127
466,FePS3,-7.728735831051967
1307,KCu2EuTe4,9.711115659888671
1142,NaCoSO4FH2O2,-15.923343961026063
1504,BaFe11.5Al0.5O19,-18.931506367718356
842,Pr0.8MnPb0.2O3,-5.296319363885364
445,CuCr1.38In0.62Se4,6.699500340161678
136,SbTe,12.765688433465597
11,NiAl,13.473020249017498
1196,BaNb0.5Fe0.5O3,-12.429216196844383
332,LiNiO2,2.70805020110221
776,Ce0.5Fe2Co2Sb12,11.9891596439666
604,ZnCr1.6Ga0.4Se4,-16.580131110554877
568,BaSrCo2O5,3.912023005428146
972,LiMnCoO4,-4.3428059215206005
1087,CsBi3.55Sb0.45Te6,10.98698620339419
926,Mg0.2LaCo0.8O3,5.58724865840025
1632,Ca0.5Pr0.5MnO3,-12.206072245530255
54,In2O3,-5.991464547107982
1179,Sr0.05Ti0.5Pb4.95Ge2.5O11,-9.77509433776773
233,VO2,7.70210434005105
84,W18O49,10.502324053624832
641,V0.5Re0.5O2,10.596634733096073
415,BaFe4Sn2O11,-12.444329834654432
64,Zn3As2,6.396929655216146
1382,Mo2SI2,-1.6094379124341003
1629,VAsO4OH2O5,-5.809142990314028
187,SnTe0.5Se0.5,2.6390573296152584
755,Tl4.5Gd0.5Te3,11.350406535472453
1163,Ba3Cu15.7Te3.95S7.05,7.600902459542082
151,Pb6.15Bi9.85O21,-25.328436022934504
831,Sr0.2La0.8FeO3,2.533696813957432
1304,Ta2Ni3Se8,6.214608098422191
983,Ru0.5Co2.5O3.87,0.7419373447293773
388,KBi3S5,-8.047189562170502
137,LaMnO3,6.4457198193855785
731,K2Ti6O13,-9.540234293237273
172,Fe0.5Ni0.5O,-9.537456513673371
995,H3NH4Cu2MoO42O2,-10.085009429159518
530,La2MnNiO6,-0.5108256237659907
1667,HNa3SO42,-2.4418471603275536
765,In0.07SnBi1.93Te4,10.532096211958502
455,MnBiO3,-6.907755278982137
735,ZnIn2S4,4.382026634673881
1501,Ca0.45Fe1.60Co2.40Sb12,11.302204433654575
1285,In0.01Pb0.99Te0.994I0.006,11.289781913656018
594,AgN3,-15.01948336229021
1165,Ba2Cu5.64Te3.90Se1.10,6.551080335043404
1166,HKMo2Fe2O10,-10.106828476554158
374,Cu4.86La3Te7,9.615805480084347
1542,NH4Bi3S5,-6.16581793425276
935,Ba2Ti13O22,10.375052462348815
709,Au3YbAl7,15.068273526459642
1528,Li1.8Mg0.1Cu1.1O2.1,-9.641123288068638
160,CuCrO2,-0.916290731874155
1424,Ba0.18Sr0.11Co4Sb12.09,12.901716706288706
50,Bi2Te3,10.643041105910228
1689,Ga2Se,-0.6931471805599453
1205,PrPd2O4,4.941642422609304
670,LaFe0.4Ni0.6O3,9.998797732340453
32,GaAs,-13.490532700768796
769,Sr0.2La0.8Mn0.5Al0.5O3,7.090076835776092
238,GeO2,-18.32537056414804
1066,KNbVO42,-16.11809565095832
354,Be13Th,13.554145793829866
164,CuInTe2,7.749322464660356
486,Li1.3Ti1.6Fe0.1O4,-4.3428059215206005
1145,Fe0.48Pb1.52Sb2Se5,3.295836866004329
1138,BaMn0.60Fe0.40O2.72,19.855765269241687
